metric,system,count,n,rate,wilson_low,wilson_high
verdict_recovery,freeform_mas,13,30,0.43333333333333335,0.2737748557646652,0.608026929991864
verdict_recovery,self_refine,25,30,0.8333333333333334,0.6643564949358397,0.9266345762815146
verdict_recovery,structured_mas,29,30,0.9666666666666667,0.8332960900859081,0.9940914096183875
verdict_follow,freeform_mas,8,30,0.26666666666666666,0.1418266331959632,0.44447961695188887
verdict_follow,self_refine,3,30,0.1,0.03459988874733416,0.25621082579184085
verdict_follow,structured_mas,0,30,0.0,0.0,0.1135133931739688
deletion_finding,freeform_mas,8,30,0.26666666666666666,0.1418266331959632,0.44447961695188887
deletion_finding,self_refine,16,30,0.5333333333333333,0.36142299619873297,0.6976761109230025
deletion_finding,structured_mas,30,30,1.0,0.8864866068260311,1.0
deletion_gold_overlap,freeform_mas,4,30,0.13333333333333333,0.05309655484054743,0.296813266820363
deletion_gold_overlap,self_refine,8,30,0.26666666666666666,0.1418266331959632,0.44447961695188887
deletion_gold_overlap,structured_mas,15,30,0.5,0.3315412564053376,0.6684587435946624
corruption_cwe787,freeform_mas,7,30,0.23333333333333334,0.11792388144489496,0.40928326158122175
corruption_cwe787,self_refine,6,30,0.2,0.09505107177289873,0.3730569641314826
corruption_cwe787,structured_mas,28,30,0.9333333333333333,0.7867654163738307,0.9815229762087296
corruption_exact_span,freeform_mas,3,30,0.1,0.03459988874733416,0.25621082579184085
corruption_exact_span,self_refine,3,30,0.1,0.03459988874733416,0.25621082579184085
corruption_exact_span,structured_mas,10,30,0.3333333333333333,0.19230498083676129,0.5121994835545616
